timestamp;open;high;low;close;volume
2020-04-01 00:00;1,10195;1,10212;1,10189;1,10212;,0000
2020-04-01 00:01;1,10212;1,10235;1,10208;1,10231;,0000
2020-04-01 00:02;1,10232;1,1024;1,1023;1,1024;,0000
2020-04-01 00:03;1,10239;1,1025;1,10236;1,10249;,0000
2020-04-01 00:04;1,10249;1,10255;1,10232;1,10254;,0000
2020-04-01 00:05;1,10254;1,10254;1,10232;1,10242;,0000
2020-04-01 00:06;1,10244;1,10271;1,10244;1,1027;,0000
2020-04-01 00:07;1,10267;1,10273;1,10255;1,10266;,0000
2020-04-01 00:08;1,10267;1,10269;1,10264;1,10266;,0000
2020-04-01 00:09;1,10265;1,1027;1,10253;1,1027;,0000
2020-04-01 00:10;1,10268;1,10286;1,10268;1,10282;,0000
2020-04-01 00:11;1,10283;1,10283;1,10266;1,10268;,0000
2020-04-01 00:12;1,10268;1,10277;1,10263;1,10275;,0000
2020-04-01 00:13;1,10274;1,10284;1,10274;1,1028;,0000
2020-04-01 00:14;1,10279;1,10282;1,10268;1,10268;,0000
2020-04-01 00:15;1,10271;1,10274;1,10268;1,10272;,0000
2020-04-01 00:16;1,10271;1,10287;1,10266;1,10287;,0000
2020-04-01 00:17;1,10287;1,10291;1,10283;1,10284;,0000
2020-04-01 00:18;1,10283;1,10283;1,10264;1,10264;,0000
2020-04-01 00:19;1,10263;1,10263;1,10248;1,10256;,0000
2020-04-01 00:20;1,10254;1,10261;1,10252;1,10252;,0000
2020-04-01 00:21;1,10252;1,10252;1,10242;1,10248;,0000
2020-04-01 00:22;1,10248;1,1025;1,10236;1,10243;,0000
2020-04-01 00:23;1,10242;1,10252;1,10238;1,10251;,0000
2020-04-01 00:24;1,10249;1,10251;1,10207;1,10212;,0000
2020-04-01 00:25;1,10212;1,10216;1,10209;1,10215;,0000
2020-04-01 00:26;1,10213;1,10229;1,10212;1,10222;,0000
2020-04-01 00:27;1,10222;1,10231;1,1022;1,1023;,0000
2020-04-01 00:28;1,10229;1,10229;1,1022;1,10224;,0000
2020-04-01 00:29;1,10222;1,10235;1,10222;1,10231;,0000
2020-04-01 00:30;1,10231;1,10243;1,1023;1,10235;,0000
2020-04-01 00:31;1,10235;1,1024;1,1023;1,10232;,0000
2020-04-01 00:32;1,10232;1,10236;1,1022;1,1022;,0000
2020-04-01 00:33;1,1022;1,10226;1,10217;1,10223;,0000
2020-04-01 00:34;1,10224;1,10232;1,1022;1,1023;,0000
2020-04-01 00:35;1,1023;1,10235;1,10225;1,10228;,0000
2020-04-01 00:36;1,10227;1,10241;1,10224;1,10232;,0000
2020-04-01 00:37;1,10232;1,10239;1,10231;1,10237;,0000
2020-04-01 00:38;1,10237;1,10237;1,10209;1,1021;,0000
2020-04-01 00:39;1,10211;1,10212;1,10198;1,10207;,0000
2020-04-01 00:40;1,10207;1,10207;1,10203;1,10203;,0000
2020-04-01 00:41;1,10204;1,10216;1,10204;1,10213;,0000
2020-04-01 00:42;1,10213;1,10222;1,10212;1,10222;,0000
2020-04-01 00:43;1,10222;1,10236;1,10217;1,10217;,0000
2020-04-01 00:44;1,1022;1,10236;1,10217;1,10236;,0000
2020-04-01 00:45;1,10236;1,10237;1,10233;1,10236;,0000
2020-04-01 00:46;1,10236;1,10249;1,10214;1,10217;,0000
2020-04-01 00:47;1,10217;1,10218;1,10203;1,10211;,0000
2020-04-01 00:48;1,10211;1,10216;1,10209;1,10212;,0000
2020-04-01 00:49;1,10212;1,10213;1,10202;1,10209;,0000
2020-04-01 00:50;1,10209;1,10211;1,10206;1,10211;,0000
2020-04-01 00:51;1,10212;1,10222;1,10212;1,10222;,0000
2020-04-01 00:52;1,10222;1,10222;1,10215;1,10219;,0000
2020-04-01 00:53;1,10221;1,10221;1,10208;1,10209;,0000
2020-04-01 00:54;1,10211;1,10219;1,10209;1,10217;,0000
2020-04-01 00:55;1,10216;1,10216;1,10178;1,1018;,0000
2020-04-01 00:56;1,1018;1,10185;1,10163;1,10171;,0000
2020-04-01 00:57;1,10171;1,10174;1,10161;1,10163;,0000
2020-04-01 00:58;1,10163;1,10169;1,10159;1,10163;,0000
2020-04-01 00:59;1,10162;1,10165;1,10153;1,10163;,0000
2020-04-01 01:00;1,10163;1,10169;1,10153;1,10162;,0000
2020-04-01 01:01;1,1016;1,10175;1,10153;1,10169;,0000
2020-04-01 01:02;1,1017;1,10173;1,10165;1,10169;,0000
2020-04-01 01:03;1,10168;1,1019;1,10168;1,10184;,0000
2020-04-01 01:04;1,10184;1,10196;1,10183;1,10196;,0000
2020-04-01 01:05;1,10195;1,10205;1,10194;1,10203;,0000
2020-04-01 01:06;1,10203;1,10232;1,10201;1,10228;,0000
2020-04-01 01:07;1,10227;1,10253;1,10226;1,10241;,0000
2020-04-01 01:08;1,10241;1,10265;1,10231;1,10255;,0000
2020-04-01 01:09;1,10255;1,10255;1,10238;1,10249;,0000
2020-04-01 01:10;1,10249;1,1025;1,10242;1,10243;,0000
2020-04-01 01:11;1,10245;1,10254;1,10243;1,10251;,0000
2020-04-01 01:12;1,10252;1,10263;1,10249;1,10251;,0000
2020-04-01 01:13;1,10251;1,10257;1,10238;1,10242;,0000
2020-04-01 01:14;1,10244;1,10244;1,10199;1,1021;,0000
2020-04-01 01:15;1,10206;1,10206;1,10194;1,10201;,0000
2020-04-01 01:16;1,10199;1,10216;1,10193;1,10215;,0000
2020-04-01 01:17;1,10216;1,10233;1,10212;1,10225;,0000
2020-04-01 01:18;1,10224;1,10237;1,10223;1,10237;,0000
2020-04-01 01:19;1,10236;1,10242;1,10228;1,10229;,0000
2020-04-01 01:20;1,10229;1,10229;1,10195;1,10217;,0000
2020-04-01 01:21;1,10219;1,10219;1,10199;1,10202;,0000
2020-04-01 01:22;1,10202;1,10213;1,10199;1,10204;,0000
2020-04-01 01:23;1,10205;1,10213;1,1020;1,10201;,0000
2020-04-01 01:24;1,10203;1,10222;1,10203;1,10221;,0000
2020-04-01 01:25;1,10219;1,10251;1,10216;1,10236;,0000
2020-04-01 01:26;1,10234;1,10235;1,10231;1,10234;,0000
2020-04-01 01:27;1,10233;1,10234;1,10222;1,1023;,0000
